feature,importance_mean,importance_std,baseline_score,metric_name
log_return_1d,0.02290173267432132,0.011168111582991469,0.10101269207016413,ic
log_return_5d,0.007644982165949055,0.008889654713942737,0.10101269207016413,ic
log_return_20d,-0.008103675831594803,0.0031425120703501308,0.10101269207016413,ic
ema_return_5,0.07071514045732233,0.01658381379054876,0.10101269207016413,ic
ema_return_20,0.01315057376829779,0.007807608897224679,0.10101269207016413,ic
realized_vol_5d,0.009443777954696433,0.003814477496416065,0.10101269207016413,ic
realized_vol_20d,0.006584493862072241,0.006976959158716487,0.10101269207016413,ic
vol_ratio_5_20,-0.010499823881695337,0.01301708900675524,0.10101269207016413,ic
gap_log,0.02621700352662193,0.00945130011934755,0.10101269207016413,ic
intraday_log,0.014637187675261334,0.009017671778639439,0.10101269207016413,ic
volume_z_20,0.018863320540693732,0.006663327188923574,0.10101269207016413,ic
day_of_week,0.013099839398444318,0.01044060000504585,0.10101269207016413,ic
zscore_price_vs_ma20,0.02420146103265061,0.018085890589461858,0.10101269207016413,ic
clv,0.01770937967397969,0.010476233994902637,0.10101269207016413,ic
body_to_range,-0.006252906383791873,0.010165432944606655,0.10101269207016413,ic
vol_ratio_5_60,0.016830519713884835,0.010414363649373997,0.10101269207016413,ic
rolling_skew_60,0.0033394305626416516,0.004246381055431001,0.10101269207016413,ic
rolling_kurtosis_60,0.006133532505697046,0.004448559123109099,0.10101269207016413,ic
vix_level,0.005563448311643543,0.009002723763625377,0.10101269207016413,ic
vix_change_1d,0.004544558880717792,0.008831704004271955,0.10101269207016413,ic
vix_zscore_60,-0.0034154091896532873,0.013891886789967198,0.10101269207016413,ic
